Title,Content
"Bộ Công an khám biệt thự, khởi tố cựu phó chủ tịch Đà Nẵng",từ 9h ngày 18/3 nhiều cán bộ công an và kiểm sát viên đã có mặt ở nhà ông nguyễn ngọc tuấn trên đường hoàng kế viêm quận ngũ hành sơn đà nẵng ông tuấn đi cùng đoàn bước xuống từ xe công vụ dẫn vào nhàlãnh đạo công an thành phố đà nẵng xác nhận cơ quan cảnh sát điều tra bộ công an đã khởi tố bị can với ông tuấn cho tại ngoạinhà chức trách mời ông hồ sỹ hoàng tổ trưởng tổ dân phố 22 chứng kiến việc công bố lệnh khám xét 10h15 xe công vụ chở nhóm cán bộ rời căn biệt thự không có ông tuấn đi cùngcùng ngày bộ công an cũng khám xét và khởi tố bị can cho tại ngoại với một số cựu cán bộ lãnh đạo tại đà nẵngđại tá trần mưu thủ trưởng cơ quan cảnh sát điều tra phó giám đốc công an thành phố đà nẵng cho hay ông tuấn và những cán bộ trên bị tình nghi liên quan phan văn anh vũ vũ nhôm trong vụ án sai phạm quản lý đất công ở đà nẵngông nguyễn ngọc tuấn từng là giám đốc sở xây dựng trước khi được bầu làm phó chủ tịch ubnd đà nẵng từ năm 2012 cuối năm 2018 ông xin nghỉ hưu trước một tháng và được 100% đại biểu hđnd thành phố bỏ phiếu tán thành miễn nhiệm chức vụtrong kết luận công bố đầu tháng 3 thanh tra chính phủ đã kiến nghị thủ tướng kiểm điểm trách nhiệm và có hình thức xử lý theo quy định đối với chủ tịch các phó chủ tịch ubnd tp đà nẵng và tổ chức cá nhân liên quan thời kỳ 2010-2016 theo phân cấp cán bộ đã để xảy ra các vi phạm khuyết điểm trong việc chuyển đổi quỹ đất công các cơ sở nhà đấtgiai đoạn này đà nẵng đã chuyển đổi 52 cơ sở nhà đất thuộc thành phố quản lý sang mục đích khác trong đó bán lại cho bên thuê 31 cơ sở; bán đấu giá 8; bán trực tiếp 8; cho thuê giao đất 50 năm và hoán đổi 5 tổng số tiền thu về ngân sách 766 tỷ đồng theo thanh tra chính phủ tổng số tiền sai phạm trong việc xác định giá thu tiền sử dụng đất 52 cơ sở của ubnd tp đà nẵng tới trên 156 tỷ đồngtrong vụ án liên quan phan văn anh vũ hiện nhiều cán bộ lãnh đạo tại đà nẵng đã vướng lao lý vào tháng 4/2018 hai cựu chủ tịch ubnd đà nẵng là ông trần văn minh và văn hữu chiến đã bị bộ công an khởi tố về hành vi vi phạm quy định về quản lý sử dụng tài sản nhà nước gây thất thoát lãng phí theo điều 219 bộ luật hình sự năm 2015 và vi phạm các quy định của nhà nước về quản lý đất đai điều 229 bộ luật hình sự năm 2015
Tù nhân Mỹ thoát án tử hình vì thẩm phán nhỡ miệng,ngày 11/2 tòa án cấp cao hạt york bang pennsylvania mỹ đã hủy án tử hình của tù nhân noel montalvo yêu cầu tòa cấp dưới xét xử lại vì thẩm phán nói sai một chữ trong quá trình diễn ra phiên tòa sơ thẩm vào năm 2003york dispatch đưa tin trong quá trình xem xét đơn kháng cáo tòa cấp cao phát hiện thẩm phán tòa sơ thẩm đã hướng dẫn bồi thẩm đoàn phải tuyên có tội nếu bên công tố không chứng minh được bị cáo chắc chắn phạm tội câu nói đúng lẽ ra là phải tuyên vô tộidù thẩm phán lỡ lời trong quá trình xét xử nhưng thẩm phán tòa cấp cao nhận định chỉ cần bồi thẩm đoàn có khả năng bị nhầm lẫn về nghĩa vụ chứng minh trong phiên tòa đi kèm hình phạt tử hình vụ án cần được xem xét lạibên cạnh đó tòa cấp cao còn tuyên xét xử lại vì luật sư bào chữa của noel montalvo không đưa ra được sự trợ giúp pháp lý tốt nhất cho thân chủ luật sư không nhận ra sai sót của tòa sơ thẩm và cũng từng thừa nhận không có thời gian chuẩn bị cho giai đoạn quyết định hình phạt người này sau đó bị tước giấy phép hành nghề luật sư do trốn thuế trong một vụ án khácthẩm phán tòa cấp cao cho rằng nếu luật sư dành thời gian nghiên cứu thân thế và gia cảnh của noel montalvo ắt hẳn sẽ biết bị cáo bị mắc chứng bệnh tâm thần nghiêm trọng từ nhỏ có thể dựa vào đó để được gỡ toàn bộ trách nhiệm hình sự trong vụ ánnoel montalvo bị coi là đồng phạm giúp anh trai giết bạn gái cũ và người yêu của cô này vì ghen vào 1998 hai anh em được xét xử riêng nhưng cùng nhận án tử hình trước đó hai anh em đổ tội cho nhau nhưng anh trai của noel montalvo gần đây thay đổi lời khai nhận toàn bộ trách nhiệm trong vụ án
Người phụ nữ tốt bụng mất mạng vì quá tin chồng,ngày 14/5/2001 quá 23h con phố hougang ở singapore dần dần trở nên vắng lặng annie leong 30 tuổi vào thang máy tòa nhà số 923 định lên nhà lấy một cây bút lúc này chồng và con gái cô đứng chờ dưới lầu trong tay người chồng là tờ thỏa thuận ly hôn chỉ cần quay xuống ký cô sẽ không còn phải chịu đựng cuộc hôn nhân thất bại này nữanhưng đúng lúc cô vừa đi ra khỏi thang máy một bóng đen bỗng xuất hiện trên hành lang annie leong chưa kịp kêu cứu thì đã bị đâm dao vào ngực tử vongannie leong từng là nhân viên ngân hàng tính tình hòa nhã được mọi người rất yêu quý để hỗ trợ chồng khởi nghiệp leong bỏ công việc ổn định nhưng những cố gắng của hai vợ chồng không có kết quả sự nghiệp của anthony ler vẫn không khởi sắc gia đình nhỏ bắt đầu chìm trong nợ nầnáp lực cuộc sống ngày càng nặng nề buộc leong phải quay lại với công việc cũ  vừa sinh con không được bao lâu leong phát hiện chồng ngoại tìnhnăm con gái lên hai tuổi leong quyết định ly thân cô có thể chịu đựng những vất vả và nợ nần nhưng không thể chấp nhận sự giả dối và phụ bạc nhưng chỉ một năm sau khi nghe nói chồng tự tử không thành vì sự nghiệp một lần nữa thất bại leong lại mềm lòng cô nghỉ làm nửa tháng đến bệnh viện chăm sóc và động viên còn bỏ tiền túi trả một phần nợ cho anthony ler đầu năm 2001 leong chính thức nộp đơn ly hôn ban đầu người chồng không đồng ý chia tay nhưng đến tháng 5 thái độ của anh ta dần dần thay đổisau khi vợ bị giết khi trả lời phỏng vấn của truyền thông anthony ler tỏ ra đau khổ nói nếu đêm đó có thể cùng lên nhà hoặc có mang theo một cây bút thì vợ không phải chết anthony ler nói vợ là thiên thần còn mình chỉ là kẻ thất bạinhưng cảnh sát cáo buộc chính anthony ler là chủ mưu giết vợ nhà chức trách công bố chứng cứ cho thấy đầu năm 2001 anthony ler quen x thiếu niên mới 15 tuổi được giấu tên trong lần cả hai cùng dẫn thú cưng đi dạo x nằm trong nhóm thiếu niên lêu lổng thường tụ tập ở khu pasir ris cùng với gavin ng jin wei 16 tuổiban đầu anthony ler giao tiếp rất bình thường nhưng sau một số lần tiếp xúc đã bắt đầu hỏi: các cậu có dám giết người không? đám trẻ không coi là thật thậm chí còn nói hùa theo: còn phải xem nhận được cái gì đã người đàn ông không nghiêm túc trả lời: 100000 usd nghe xong đám trẻ chỉ cười xòa nói sang chuyện khácsau nhiều lần thăm dò lũ trẻ không hề có kết quả anthony ler tiếp cận gavin nói muốn giết vợ hứa sẽ trả 100000 usd anthony ler còn chỉ dẫn gây án ở đâu thì dễ nhưng gavin không nhận lờilúc đầu chúng tôi đều cho rằng anthony ler nói đùa bởi vì không ai lại đưa ra một yêu cầu như vậy với những người bạn vừa quen biết không lâu nhưng sau đó ông ấy nói rõ mục tiêu hơn nữa còn đưa ra mức thù lao cụ thể chúng tôi đều cảm thấy ông ấy rất đáng sợ cố chấp và điên cuồng mỗi lần nhìn thấy chúng tôi ông ấy đều sẽ tìm cách lái câu chuyện đến chủ đề này gavin nói với cảnh sáthai ngày sau khi vụ án xảy ra x tìm đến gavin nói: tôi đã làm xong rồistraits times đưa tin ngày 19/5/2001 tại phiên xét xử công khai thiếu niên15 tuổi bình tĩnh nhận tội và bị tuyên án tù chung thân x khai không có lựa chọn nào khác anthony ler nói nếu không giết vợ hắn thì người chết sẽ là x  sau khi x nhận lời anthony ler đã nhiều lần dặn: không được để người khác nhìn thấy mặt; nhớ lấy túi xách để vờ là vụ cướp của; phải dọn dẹp hiện trườnganthony ler còn yêu cầu x vài ba ngày sau dùng tên giả gửi túi xách của leong cho hắn kèm với một tờ giấy viết: xin lỗi tôi không cố ý làm như vậy chỉ khi x hoàn thành những việc này anthonyler mới có thể thoát tội và trả tiền cho xtrong máy tính tại nhà của anthony ler trên đường pasir ris cảnh sát phát hiện một file word trống không sau khi được chuyên gia kĩ thuật khôi phục nội dung cho thấy đây là đối thoại của anthony ler và x sau khi gây án x tới nhà tìm để bàn bạc biện pháp đối phó tiếp theo sợ cảnh sát đang bí mật nghe trộm mình anthony ler ra hiệu cho x không được nói hai người mở một file word lên ngồi trước máy tính gõ chữ trao đổi trong đó anthony ler viết: cậu làm rất tốt tiền thù lao phải đợi một thời gian vài ngày nữa cảnh sát không còn điều tra tôi tôi sẽ thu xếp cho cậutheo điều tra của cảnh sát tình hình kinh tế của anthony ler cực kì tồi tệ công ty liên tục phá sản số nợ vượt xa khả năng hoàn trả của hắn đúng lúc này leong đòi ly hôn là phía có lỗi trong hôn nhân anthony ler có thể sẽ mất quyền sở hữu bất động sản đứng tên hai vợ chồng đồng thời cũng mất quyền giám hộ con gáinhiều tình nhân của anthony ler cho biết từng nhiều lần cho hắn vay tiền để đầu tư vào công ty song không thể đòi lại được ông ấy từng nhiều lần đe dọa sẽ giết tôi còn nói ông ấy sẽ giết vợ mình nếu vợ ông ấy định mang con gái đi một người nóicùng ngày 19/5/2001 anthony ler bị tuyên án tử hình bằng hình thức treo cổ tháng 3/2002 anh ta kháng án nhưng bị bác bỏkhang diệp
Người mẹ Mỹ hại chết con do cho bú sau khi dùng ma túy đá,ngày 27/3 tòa án tại bang louisiana mỹ dự kiến xét xử brandie froeba với cáo buộc cho con bú sau khi dùng ma túy đá dẫn tới cái chết của đứa trẻ nếu bị kết tội bị cáo này sẽ đối diện án tù chung thân về tội giết người cấp độ iinola đưa tin ngày 16/8/2018 cảnh sát thành phố kenner nhận được cuộc gọi của brandie froeba 35 tuổi báo tin con sơ sinh 6 tuần tuổi không có dấu hiệu hô hấp cần được cấp cứukhi tới nơi nhân viên y tế thấy bé gái nằm trên giường khóe miệng vương máu trên áo của người mẹ cũng dính máu bé gái được sơ cứu hô hấp nhân tạo nhưng không qua khỏibrandie froeba khai hai mẹ con nằm ngủ và khi tỉnh dậy cô không thấy bé tắt thở trong lúc này cảnh sát để ý thấy brandie froeba nói chuyện không rõ ràng có chút đờ đẫn trước sự việc nghiêm trọng brandie froeba sau đó thừa nhận có sử dụng ma túy đá vào hôm trướchai tháng sau đó nhân viên khám nghiệm kết luận trong thi thể bé gái sơ sinh có chất ma túy đá chứng tỏ tử vong do ngộ độc methamphetamine công tố viên nghi ngờ bé gái tiếp xúc với ma túy đá qua sữa mẹtrong quá trình điều tra vụ án cảnh sát phát hiện brandie froeba từng đẻ con bẩm sinh dương tính với thuốc phiện và cần sa vào năm 2016 nhà chức trách đã tư vấn và cung cấp tài liệu đọc cho brandie froeba về mối nguy hiểm khi dùng ma túy song song với cho con bú người mẹ  này cũng có tiền án tàng trữ cần sa và các dụng cụ dùng chất kích thích trong điện thoại của brandie froeba có nhiều tin nhắn nói về việc dùng ma túy đábrandie froeba bị bắt vào ngày 8/3 bị giam tại nhà tù hạt jefferson bang louisiana với mức tiền bảo lãnh 250000 usd
Người dân tạm giữ nam thanh niên nghi bắt cóc trẻ con,chiều 17/3 mạng xã hội xuất hiện đoạn video ghi cảnh nam thanh niên chừng 30 tuổi bị người dân giữ lại giữa đường xuân la phường xuân tảo quận bắc từ liêm hà nội do nghi bế bé gái 3 tuổi để bắt cóc người thanh niên cố giải thích song không vẫn bị giữ lại yêu cầu bàn giao cho cảnh sátngày 18/3 công an phường xuân tảo cho biết nam thanh niên bước đầu khai đang đi trên đường xuân la trong tình trạng say rượu thì thấy bé gái 3 tuổi đứng trên vỉa hè gào khóc anh ta bế đứa trẻ để dỗ nín chứ không phải bắt cóc như người dân suy đoántuy nhiên các lời khai đang được xác minh công an phường xuân tảo đang phối hợp cùng công an quận bắc từ liêm làm rõ vụ việc
Cựu giám đốc công ty thủy lợi bị truy tố tội tham ô tài sản,ngày 17/3 vksnd khánh hòa đã hoàn tất cáo trạng truy tố ông đỗ hồng hải nguyên giám đốc công ty tnhh mtv khai thác công trình thuỷ lợi nam khánh hòa ông đoàn phi dũng nguyên phó giám đốc bà diệp thuỵ khánh trân nguyên kế toán trưởng và ông nguyễn văn minh giám đốc công ty tnhh thương mại xây dựng thành khánh quyên cùng tội tham ô tài sản7 người khác của công ty nam khánh hòa cũng bị truy tố tội vi phạm quy định về đầu tư công trình xây dựng gây hậu quả nghiêm trọng và vi phạm quy định về kế toán gây hậu quả nghiêm trọngkết quả điều tra xác định năm 2014-2015 được phân công nhiệm vụ thực hiện hậu quả hạn hán phục vụ tưới tiêu của tỉnh ông hải cùng các đồng phạm tạo hồ sơ giả lập khống chứng từ để nhận 63 tỷ đồngtheo hồ sơ nguyên giám đốc công ty nam khánh hòa chỉ đạo cấp dưới lập khống khối lượng dầu bơm chống hạn sau đó mua hóa đơn từ các doanh nghiệp; lập chi phí nhân công sửa chữa 6 công trình để chiếm đoạt tiền ngân sáchriêng ông minh bị cáo buộc đã ký giúp ông hải ký khống 12 hợp đồng thi công nạo vét chống hạn có chi phí 32 tỷ đồng để quyết toán rút tiền ngân sách trong khi doanh nghiệp chỉ thực hiện một dự án với trị giá hơn 100 triệu đồngan phước
105 tỷ đồng lãi ngoài Oceanbank chi cho Vinashin như thế nào?,cơ quan cảnh sát điều tra bộ công an vừa hoàn tất kết luận đề nghị truy tố ông nguyễn ngọc sự nguyên chủ tịch hội đồng thành viên tập đoàn công nghiệp tàu thủy việt nam - vinashin trương văn tuyến cựu tổng giám đốc vinashin phạm thanh sơn nguyên phó tổng giám đốc vinashin và trần đức chính cựu kế toán trưởng vinashin cùng về tội lạm dụng chức vụ quyền hạn chiếm đoạt tài sảnnăm 2008-2010 vinashin có nguy cơ phá sản nên được nhà nước đưa ra giải pháp tái cơ cấu sát nhập về tập đoàn dầu khí việt nam pvn và tổng công ty hàng hải việt nam vinalines sau đó vinashin tiếp nhận 2200 tỷ đồng từ pvn 4190 tỷ từ quỹ hỗ trợ sắp xếp doanh nghiệp trung ương để thực hiện đề án tái cơ cấu vinashin đã sử dụng một số lượng tiền lớn trích ra ở hai khoản này để gửi vào ngân hàng thương mại cổ phần đại dương oceanbanktheo nhà chức trách bốn bị can trên đã thống nhất chủ trương gửi tiền có kỳ hạn tại oceanbank nhằm đem lại hiệu quả lãi suất tiền gửi được thêm khoản lãi suất ngoài ông chính được giao quản lý tiền ngoài lãi để chi tiêu sử dụng cho các công việc chung của vinashin như đối ngoại hội họp tiếp khách lễ tết hỗ trợ công tác nước ngoài để ngoài hạch toánthực hiện chủ trương trên từ ngày 8/11/2010 đến ngày 31/10/2014 vinashin đã phát sinh hơn 2500 hợp đồng gửi tiền có kỳ hạn vào oceanbank với tổng số gần 109000 tỷ đồng và hơn 181 triệu usd lãi phát sinh tương ứng theo tiền gửi là hơn 1000 tỷ đồng cùng gần 30000 usdngoài ra từ tháng 2/2011 đến tháng 10/2014 ông chính đã nhận hơn 105 tỷ đồng do oceanbank chi lãi ngoài cho vinashin số tiền chi lãi ngoài này được oceanbank tính toán và chi thực tế trên 400 hợp đồng tiền gửi có kỳ hạn của vinashin phát sinh từ tháng 1/2011 đến tháng 6/2014theo cáo buộc bình quân mỗi tháng một lần ông chính nhận lãi ngoài do oceanbank chi trả trong đó lần ít vài trăm triệu lần nhiều trên 10 tỷ đồng bình thường là 1-2 tỷ bà nguyễn thị minh phương phó tổng giám đốc oceanbank chi trả lãi ngoài cho vinashin nhiều nhất là hơn 92 tỷ đồng số còn lại là cán bộ ngân hàng thực hiện phía ngân hàng mang tới phòng làm việc của ông chính hoặc do ông này đến trụ sở oceanbank thăng long nhậnsau khi nhận tiền ông chính thường cất giữ trong phòng làm việc của mình để quản lý theo dõi riêng quá trình chi tiêu khoản tiền 105 tỷ đồng bị can cập nhật vào file theo dõi đặt tên chinh1 lưu tại máy tính cá nhân mỗi lần sự yêu cầu chính báo cáo việc thu chi khoản tiền lãi ngoài này xong đều yêu cầu hủy các tài liệu đótrong tổng số tiền trên ông chính khai đưa cho ông sự tổng số hơn 50 tỷ đồng trực tiếp tại nhà; ông tuyến 15 tỷ đồng; ông sơn 75 tỷ đồng bản thân bị can chiếm hưởng 10 tỷ đồngkhoản tiền còn lại ông chính giải trình theo chỉ đạo đã chi cho lãnh đạo vinashin đi chúc tết các phòng ban đi đối ngoại tết chi tết cho nhân viên ban tài chính kế toán tiền mừng tuổi trong khoảng 3 năm 2012-2014 số tiền khoảng 15 tỷ đồng trong đó chính đưa cho ông sự chúc tết âm lịch ba năm 600000 usd tương đương 13 tỷ đồng ông tuyến 400 triệu đồng trong hai năm 2012-2013 ngoài ra chính còn chi tiền để văn phòng lì xì ông sự vào các dịp tết nguyên đán mỗi năm khoảng 80 triệu đồng ông tuyến 20 triệu cũng trong khoảng thời gian từ 2011 đến 2014 vào các dịp lễ chính còn chi cho ông sự hơn 25 tỷ đồng để đi ngoại giao hội họpcác chuyến đi nước ngoài ở anh đức singapore hà lan paraguay hy lạp của ông sự cũng được chi bằng khoản tiền lãi ngoài nhận từ oceanbank theo đó một lần đi công tác nước ngoài của sếp ông chính chi 10000 usd bị can trực tiếp chuẩn bị đổi tiền tại việt nam và giao trực tiếp cho ông sự tại phòng khách sạn riêng ông tuyến hai lần đi công tác nước ngoài tại đan mạch và nauy cũng được chi tổng cộng 20000 usdtuy nhiên ông sự tuyến sơn chỉ thừa nhận được chia số tiền ít hơn lời khai của chính căn cứ bằng chứng tài liệu thu thập được cũng như lời khai của các bị can nhà chức trách cáo buộc ông sự đã nhận 8 tỷ đồng và chi tiêu sử dụng cá nhân 385 triệu đồng; tuyến 35 tỷ đồng; sơn chiếm hưởng 12 tỷ đồng; còn chính chiếm hưởng 10 tỷ đồng và chi tiêu sử dụng cá nhân hơn 82 tỷ đồng
Thiếu nữ hai lần bị bán sang Trung Quốc làm vợ,sau nửa tuần nghị án tand tỉnh nghệ an đã tuyên lô thị hà 31 tuổi 10 năm tù về tội mua bán trẻ em 5 năm tù về tội mua bán người; lương thị lý 34 tuổi 7 năm tù về tội mua bán trẻ em 3 năm tù về tội mua bán ngườitheo cáo trạng cuối năm 2014 lý dụ dỗ bé mận 14 tuổi qua trung quốc lấy chồng thì người thân sẽ nhận được 80 triệu đồng tiền công đề nghị của lý được cô bé chấp thuậnlý liên lạc với lô thị hà đang lấy chồng sinh sống ở trung quốc bàn kế hoạch đưa mận vượt biên tại trung quốc lý bán mận cho người đàn ông bản địa với giá 150 triệu đồng và gửi về việt nam 79 triệu đồng cho hà cô này đưa cho gia đình nạn nhân 50 triệu đồnghơn một năm ở trung quốc mận trốn về việt nam một tháng sau lý lại gặp mận đặt vấn đề sang trung quốc lấy chồng lần hai thì gia đình sẽ nhận được 100 triệu đồnglần thứ hai sang trung quốc mận được bán với giá 240 triệu đồng hà gửi 100 triệu về việt nam lý chuyển cho gia đình mận 80 triệu đồngtháng 3/2018 mận được công an trung quốc giải cứu trả về việt nam nên tố cáo nhóm tội phạmtại phiên tòa mở ngày 11/3 hai bị cáo lý và hà đều thừa nhận hành vi phạm tội theo hồ sơ hà từng liên quan tới một vụ mua bán người và bị tuyên 4 năm tù nhưng chưa thi hành án* tên nạn nhân đã thay đổi
Chủ ôtô Mercedes bị ngập ở Sài Gòn kiện công ty bảo hiểm 900 triệu,tand quận 1 tp hcm vừa thụ lý giải quyết tranh chấp hợp đồng bảo hiểm giữa nguyên đơn ngô quốc bảo chủ ôtô mercedes benz e300 và bị đơn là công ty trách nhiệm hữu hạn bảo hiểm liberty việt nam ông bảo yêu cầu công ty thanh toán gần 900 triệu đồng tiền bồi thường bảo hiểm chi phí phát sinh việc di chuyển xe đến nơi sửa chữatrong đơn khởi kiện ông bảo cho biết mua bảo hiểm của liberty cho ôtô mercedes benz e300 5 chỗ ngồi thời hạn từ tháng 11/2017 đến tháng 5 năm nayngày 25/11/2018 ông lái xe trên đường thì bị ngập nước trong trận bão usagi nên bị chết máy ngay lúc đó ông nhiều lần gọi điện yêu cầu hãng liberty kéo xe mình khỏi hiện trường nhưng nhân viên bảo hiểm không đếnchờ lâu trong xe lại có người già và trẻ em nước mỗi lúc càng dâng cao nên ông phải chủ động liên hệ xe kéo bên ngoài đưa ôtô về xưởng sửa chữa và chịu toàn bộ chi phí theo ông bảo quy tắc bảo hiểm và hợp đồng đã ký với liberty hãng phải có mặt để kiểm nghiệm hiện trường xác định sự cốsau nhiều lần làm việc ngày 14/12/2018 liberty thông báo không giải quyết bồi thường đối với phần động cơ bởi hư hỏng do quý khách khởi động lại sau khi động cơ ngừng hoạt động vì đi vào đường ngập nước thuộc điều khoản loại trừ theo liberty kết quả giải quyết bồi thường đối với ông bảo là dựa vào kết luận giám định của phân viện khoa học hình sự tại tp hcmkết luận giám định nêu nguyên nhân hư hỏng động cơ là do quá trình tham gia giao thông qua đoạn đường ngập nước làm cho động cơ ngừng hoạt động quá trình khởi động lại động cơ dẫn đến nước vào trong các xilanh qua đường khí nạp nhiều hơn làm chu trình nén của máy số một giảm lượng nước lọt vào xilanh đã chiếm chỗ của hỗn hợp khí nạp khi đang lên điểm chết nên gây ra phản lực làm gãy tay biên gây hư hỏng động cơphía liberty căn cứ vào điều khoản loại trừ trách nhiệm trong quy tắc bảo hiểm tự nguyện là: những thiệt hại xảy ra cho động cơ trong trường hợp lái xe cố tình khởi động lại động cơ xe đã ngưng hoạt động vì đi vào đường ngập nước vì vậy công ty bảo hiểm không bồi thường cho những chi phí liên quan đến tổn thất nàyông bảo không đồng ý với việc liberty khẳng định trường hợp của ông rơi vào điều khoản loại trừ theo ông phía bảo hiểm giải quyết bồi thường dựa hoàn toàn vào kết quả giám định nhưng giám định này chưa nêu được căn cứ khẳng định việc tài xế đã khởi động lại khi xe bị ngập nước dẫn đến hư hỏng động cơ việc công ty cho rằng ông cố ý khởi động lại là mang tính quy chụp thoái thác trốn tránh trách nhiệm bồi thườnghơn nữa liberty gửi thông báo giải quyết yêu cầu bồi thường bảo hiểm cho ông nhưng không đính kèm bất kỳ bảng báo giá nào hay các chứng cứ kèm theo cho kết quả giải quyết bồi thườngchiều 25/11/2018 bão usagi suy yếu thành áp thấp nhiệt đới đi sâu vào đất liền khiến tp hcm và nhiều tỉnh thành mưa lớn ở sài gòn các quận trung tâm 1 3 4 10 và ngoại thành như quận 2 7 9 huyện nhà bè bình chánh ngập nhiều tuyến đường lưu lượng và thời gian mưa lịch sử khiến 102 khu vực ở tp hcm ngập nặng; người dân trắng đêm tát nước hàng nghìn ôtô xe máy hư hỏng từ trước đến nay chưa từng có cơn bão lớn nào lại gây ảnh hưởng trực tiếp vào tp hcm như usagihải duyên
Hàng chục nam nữ sử dụng ma túy trong khách sạn,công an cà mau bất ngờ ập vào kiểm tra khách sạn thanh nhàn 1 nằm trên đường lý thường kiệt phường 6 tp cà mau rạng sáng 17/3tại 3 phòng hàng chục thanh niên nam nữ đang phê ma túy dưới tiếng nhạc chát chúa ánh đèn laser nhiều bịch nylon chứa viên nén màu xanh và dụng cụ dùng để sử dụng ma tuý vứt vương vãiqua test nhanh 19 người dương tính ma túyhoàng hạnh
